Date,Week,Marketplace,Product URL,Product ID,Pincode,Brand,Title,MRP,Selling Price,Discount %,Estimated Delivery Date,In Stock
2023-03-04,5,Ajio,https://www.ajio.com/p/464587725004,464587725_yellow,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': '10 Mar', 'M': '10 Mar', 'L': '10 Mar', 'XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587752004,464587752_orange,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': 'No Service', 'M': '10 Mar', 'L': '10 Mar', 'XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587573004,464587573_maroon,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587699004,464587699_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587702003,464587702_brown,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587781004,464587781_blue,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587616004,464587616_white,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587641004,464587641_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': 'No Service', '42': 'No Service', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587665004,464587665_beige,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587673004,464587673_navy,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587650004,464587650_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': 'No Service', '42': '10 Mar', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587682004,464587682_grey,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587686004,464587686_maroon,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587702004,464587702_brown,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
